,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,GREECE,IRELAND,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,USA
,58.662,217.786,,123.35,174.866,45.883,99.838,,,,,213.682,102.547,,241.649,,179.182,147.06,138.885,82.471,84.302
,57.348,216.015,,119.45,164.884,49.997,107.003,,,,,218.63,100.687,,231.74,,169.943,143.373,135.346,75.356,86.095
,56.151,212.392,,120.878,178.706,62.218,116.406,,,,,218.804,102.979,,245.92,,177.268,148.544,141.936,86.768,89.71
,61.671,210.175,,123.042,186.146,64.247,113.169,,,,,217.357,98.204,,237.918,,168.277,144.305,139.886,89.397,93.542
,59.674,208.997,,125.757,181.176,60.71,105.746,,,,,219.39,100.66,,233.153,,160.784,150.023,138.84,75.185,97.775
,58.264,190.799,,124.352,174.041,65.273,106.057,,,,,207.773,94.156,,227.122,,152.042,142.263,131.111,71.519,90.96
,56.037,188.458,,122.904,175.135,72.42,105.23,,,,,198.187,93.979,,220.192,,154.355,135.637,124.881,80.566,88.704
,59.644,182.295,,116.533,169.341,72.652,96.766,,,,,185.285,85.716,,180.089,,143.617,136.782,115.171,79.22,85.336
,61.186,190.187,,111.106,183.559,82.528,103.518,,,,,204.882,93.247,,186.806,,150.066,143.458,132.231,83.61,90.944
,65.167,185.755,,119.673,182.103,78.091,107.681,,,,,206.265,99.857,,172.5,,167.406,138.804,138.458,81.833,93.43
,66.996,189.51,,115.201,184.473,82.352,106.153,,,,,208.215,105.503,,172.872,,163.028,140.468,144.441,85.457,92.236
,67.953,192.711,,127.327,196.882,101.511,107.578,,,,,220.65,113.765,,206.982,,151.822,146.861,149.766,93.602,102.733
,68.902,195.01,,133.834,189.604,99.905,112.275,,,,,221.811,111.766,,191.928,,129.094,147.149,148.742,90.312,101.4
,67.117,199.159,,131.774,188.402,96.322,103.983,,,,,221.347,116.523,,183.45,,122.484,148.268,149.127,84.654,104.667
,68.516,197.1,,133.728,189.821,103.561,98.718,,,,,222.39,116.616,,179.57,,131.32,163.048,147.655,84.465,103.291
,69.045,194.48,,134.265,193.812,97.45,97.195,,,,,223.234,112.832,,175.515,,126.821,154.648,148.686,75.424,101.9
,69.791,192.04,,133.077,200.37,96.272,94.517,,,,,234.025,110.498,,187.812,,117.03,152.796,151.425,75.292,106.143
,76.732,197.449,,130.845,202.462,107.689,86.477,,,,,229.3,109.908,,192.214,,116.427,153.17,151.19,72.612,105.284
,76.337,203.416,,129.334,202.115,117.857,85.877,,,,,236.942,108.766,,186.959,,113.584,144.138,150.875,68.79,104.9
,70.005,209.993,,127.428,197.679,119.951,80.13,,,,,237.819,107.654,,192.041,,114.808,142.028,149.869,60.712,107.27
,65.639,210.581,,122.444,190.078,134.69,74.032,,,,,224.97,106.163,,183.62,,107.433,130.083,144.356,52.529,104.98
,51.706,204.074,,106.798,181.287,121.269,71.187,,,,,222.072,109.714,,190.924,,106.638,134.568,145.497,57.737,104.244
,57.532,212.575,,121.217,188.398,124.594,79.932,,,,,255.495,116.26,,191.809,,99.077,142.468,155.367,70.458,109.482
,58.386,208.308,,117.276,186.277,123.205,78.101,,,,,247.449,116.235,,182.692,,90.964,128.506,153.371,76.954,103.851
,56.462,212.344,,115.962,195.561,123.838,74.349,,,,,259.725,119.235,,175.208,,96.892,142.654,149.312,78.557,101.43
,59.634,210.558,,116.499,198.353,120.095,66.523,,,,,256.79,121.157,,176.354,,91.407,144.117,150.543,80.906,99.961
,58.791,209.855,,113.51,193.846,135.277,64.908,,,,,261.115,132.59,,164.994,,92.41,136.355,152.074,83.424,99.968
,61.271,208.758,,111.104,190.688,140.497,68.022,,,,,259.048,124.886,,158.886,,88.245,132.375,147.069,85.301,97.782
,60.907,206.46,,115.4,189.188,160.776,72.525,,,,,268.829,125.153,,161.083,,86.942,118.44,151.25,87.698,102.224
,57.403,209.447,,114.587,183.808,178.024,70.502,,,,,265.191,126.722,,160.472,,62.757,116.522,154.405,86.093,100.643
,54.44,205.131,,109.458,180.231,174.768,75.45,,,,,278.765,119.852,,147.688,,62.466,98.994,159.979,96.075,98.442
,54.231,199.647,,109.623,181.191,182.304,79.768,,,,,282.284,122.405,,152.796,,55.144,106.014,169.835,103.849,98.176
,58.06,202.46,,101.747,181.903,155.836,83.165,,,,,287.333,123.388,,149.638,,55.433,101.159,175.962,105.307,93.788
,56.304,200.747,,107.347,172.198,152.82,79.156,,,,,287.675,125.242,,139.724,,55.453,95.018,181.788,99.496,95.897
,61.186,217.178,,113.323,183.464,128.807,78.943,,,,,289.226,126.929,,139.931,,60.126,106.272,194.565,105.828,96.119
,58.048,215.015,,104.719,185.566,127.16,73.861,,,,,300.911,127.403,,131.758,,57.046,115.662,205.116,102.691,90.178
,54.663,219.786,,104.103,192.58,124.322,75.022,,,,,311.83,129.883,,122.643,,54.795,113.628,209.017,96.81,87.821
,57.57,224.924,,108.433,188.178,124.516,94.419,,,,,351.65,134.475,,123.555,,55.4,121.191,206.613,99.09,89.609
,61.062,215.88,,110.099,182.049,124.275,98.825,,,,,348.866,131.494,,123.497,,58.334,126.342,190.412,98.575,97.731
,63.844,214.529,,115.96,182.677,137.167,103.992,,,,,351.538,132.114,,126.903,,59.318,121.754,196.627,102.385,97.771
,63.457,214.597,,114.896,183.048,130.814,102.523,,,,,383.978,133.923,,118.591,,60.489,124.298,203.285,100.889,95.864
,67.493,224.187,,120.936,191.215,132.211,117.313,,,,,423.365,137.908,,125.997,,64.013,135.283,214.68,110.979,101.309
,71.555,229.475,,122.955,193.036,146.721,114.048,,,,,416.417,147.057,,149.712,,64.897,138.026,227.739,113.697,103.617
,74.361,233.779,,126.939,191.4,148.061,130.903,,,,,425.008,147.463,,157.447,,63.396,130.734,232.961,114.853,102.801
,70.861,260.401,,120.803,203.029,151.434,134.553,,,,,457.333,151.168,,146.779,,66.414,132.275,237.315,117.646,93.68
,66.983,227.38,,127.417,185.177,163.908,119.086,,,,,414.553,138.208,,138.998,,58.902,122.577,210.144,111.674,95.188
,70.945,242.447,,130.61,189.694,169.661,128.757,,,,,434.091,143.061,,140.11,,58.545,125.357,230.203,114.886,96.508
,73.617,235.356,,133.247,198.164,180.833,124.682,,,,,432.011,148.09,,148.067,,56.306,133.919,244.436,113.849,100.505
,75.824,235.882,,135.999,198.444,178.022,116.95,,,,,414.777,145.922,,166.548,,59.595,126.787,243.193,123.272,96.612
,76.543,241.884,,149.307,198.57,178.875,122.121,,,,,399.437,151.707,,170.96,,67.983,126.528,245.013,141.628,101.673
,73.726,235.513,,152.992,194.773,178.914,127.471,,,,,386.488,151.031,,194.933,,64.971,119.07,242.088,148.204,101.244
,75.79,231.548,,156.601,185.036,185.56,118.783,,,,,391.781,144.672,,219.305,,64.94,118.144,231.653,137.418,98.842
,74.517,239.716,,167.037,188.306,198.06,136.194,,,,,393.798,154.026,,260.428,,64.775,118.233,240.388,137.661,102.194
,76.631,240.076,,158.67,193.167,219.381,135.793,,,,,392.088,153.994,,258.351,,60.648,122.527,241.906,138.439,102.869
,85.634,245.546,,174.33,190.829,200.357,145.372,,,,,392.988,160.734,,262.906,,60.823,119.95,247.923,141.475,107.498
,91.327,256.305,,185.138,190.079,237.401,167.79,,,,,399.894,168.231,,306.624,,57.919,121.02,268.366,143.617,106.857
,89.799,257.8,,165.496,179.727,219.652,147.654,,,,,368.349,156.459,,329.035,,55.185,116.584,242.772,128.285,99.536
,87.133,271.499,,179.72,182.866,209.153,158.031,,,,,353.066,158.461,,391.635,,52.421,118.073,248.908,133.425,103.186
,97.587,279.772,,190.852,173.911,196.761,156.739,,,,,374.827,160.068,,383.42,,54.932,121.477,251.351,132.758,104.383
,117.522,274.784,,218.189,165.618,212.655,167.32,,,,,381.74,162.956,,390.304,,52.999,128.044,251.87,146.466,110.181
,120.296,274.177,,246.706,156.93,252.469,165.151,,,,,366.326,161.407,,364.807,,54.433,125.572,234.915,154.387,108.563
,98.148,248.027,,191.668,139.205,262.993,138.045,,,,,355.49,135.282,,263.612,,49.405,117.122,197.331,133.375,98.453
,104.724,261.707,,197.489,146.918,310.869,152.334,,,,,383.902,151.061,,306.502,,48.689,126.412,225.113,143.574,102.217
,119.13,264.347,,214.031,149.639,305.778,161.597,,,,,406.148,156.902,,349.337,,50.585,125.436,226.188,144.26,106.613
,127.729,265.029,,228.988,155.419,323.869,162.86,,,,,421.384,164.555,,345.389,,54.28,126.668,239.741,161.866,109.551
,127.333,263.302,,237.757,163.496,360.39,155.273,,,,,399.883,168.743,,332.435,,52.815,126.558,240.08,166.736,116.305
,134.339,258.588,,241.054,165.189,289.731,158.112,,,,,425.852,165.485,,317.719,,52.87,121.063,241.207,170.108,116.587
,141.979,253.18,,238.948,177.99,305.11,156.987,,,,,453.223,165.864,,350.586,,54.285,120.873,239.946,174.325,119.002
,151.051,240.868,,231.336,193.985,341.826,161.072,,,,,463.6,173.646,,340.917,,53.26,129.757,233.029,188.884,121.485
,146.62,237.976,,239.989,191.315,365.225,157.173,,,,,448.073,181.3,,327.444,,50.018,137.57,228.627,184.738,133.636
,145.018,236.091,,225.44,190.881,431.102,144.744,,,,,478.795,168.267,,301.152,,50.354,139.456,226.214,175.724,128.466
,129.51,211.88,,222.758,193.275,475.39,127.885,,,,,487.507,159.039,,283.02,,49.572,130.556,201.509,173.998,123.167
,123.893,208.07,,217.15,191.15,448.066,128.612,,,,,479.819,157.556,,268.643,,48.839,149.247,201.1,167.736,125.24
,136.528,207.845,,233.191,198.345,507.511,133.531,,,,,507.81,149.196,,258.871,,50.435,161.174,205.239,169.407,128.868
,134.633,190.241,,227.649,197.877,503.621,118.836,,,,,544.07,141.991,,246.32,,50.013,149.301,189.825,173.091,125.928
,133.228,178.629,,235.181,198.474,476.251,90.575,,,,,529.408,130.522,,213.286,,50.65,153.061,178.201,158.601,125.018
,130.718,170.182,,234.547,209.787,551.779,83.324,,,,,547.406,129.288,,206.335,,56.624,167.79,186.01,151.535,124.184
,115.856,165.85,,218.115,201.053,560.505,89.015,,,,,526.613,127.852,,235.162,,52.254,171.972,177.2,145.58,124.512
,116.256,161.573,,217.959,207.758,540.556,93.273,,,,,546.365,127.649,,240.104,,56.347,174.198,171.2,151.433,116.856
,105.116,165.591,,185.626,204.228,571.956,95.891,,,,,494.07,114.42,,223.544,,54.607,151.857,170.998,123.738,110.805
,98.593,170.018,,180.375,224.15,685.121,92.81,,,,,492.921,126.929,,244.964,,51.546,170.269,184.57,130.144,115.752
,107.779,173.33,,203.545,228.123,828.572,98.763,,,,,537.083,139.514,,260.194,,54.254,190.194,201.066,154.67,120.263
,105.754,180.638,,193.003,227.828,1080.803,94.893,,,,,545.076,134.619,,239.843,,50.934,183.677,198.022,147.732,116.52
,93.764,170.201,,175.462,226.033,1081.241,99.159,,,,,535.258,132.392,32.064,238.633,,49.772,178.07,189.223,154.174,114.639
,83.466,162.751,,161.3,220.547,1173.461,103.357,,,,,491.976,120.917,32.677,215.504,,47.872,174.134,183.426,142.404,108.163
,76.786,158.028,,151.071,203.104,1205.007,95.855,,,,,444.079,128,30.999,189.093,,44.956,164.722,181.578,144.155,107.017
,86.277,159.057,,149.255,215.453,1239.75,104.43,,,,,482.948,138.828,26.885,204.829,,46.563,160.935,181.106,147.1,111.15
,84.765,157.237,,145.667,208.075,1126.394,102.946,,,,,463.813,136.567,27.544,207.836,,44.907,166.054,174.295,151.295,106.898
,77.06,145.468,,125.444,193.05,1103.889,84.436,,,,,435.255,122.754,27.237,182.513,,40.847,159.108,159.381,141.074,104.99
,74.066,144.167,,133.092,196.491,966.57,82.01,,,,,418.463,123.385,25.992,176.678,,39.551,169.593,159.662,145.488,102.556
,75.327,141.328,,156.389,202.38,941.451,83.816,,,,,420.247,125.27,24.938,178.976,,36.896,167.792,160.256,147.129,114.627
,76.775,139.052,,153.875,202.409,858.832,80.538,,,,,403.606,124.75,25.4,160.884,,32.848,180.757,158.57,153.454,115.581
,76.409,135.911,,170.83,209.416,853.857,80.626,,,,,404.572,133.964,25.033,162.348,,33.3,175.25,165.586,155.657,127.902
,75.072,141.353,,172.842,204.448,864.53,83.731,,,,,478.909,133.155,24.313,156.106,,34.335,205.482,178.019,150.507,132.318
,77.696,157.098,,188.016,225.753,921.843,85.691,,,,,532.645,145.735,22.304,162.787,,31.26,218.677,198.364,152.316,134.15
,85.484,148.478,,193.322,229.794,764.836,88.414,,,,,509.947,147.14,24.162,180.78,,29.623,246.96,201.117,149.448,138.966
,78.647,151.318,,199.882,255.971,521.839,91.784,,,,,517.701,151.469,25.92,197.563,,29.288,296.133,202.936,149.689,141.364
,73.533,162.987,,204.392,289.808,527.718,94.658,,,,,537.813,174.572,27.416,204.281,,30.973,295.921,201.589,151.208,145.709
,85.112,168.679,,225.189,293.801,698.541,98.088,,,,,548.556,179.47,26.294,248.685,,30.607,341.292,211.814,171.969,156.605
,90.624,164.93,,230.197,292.507,619.399,99.296,,,,,549.162,173.838,29.168,246.372,,32.318,337.03,202.336,176.429,153.639
